Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.0,0.0,0.0,0,0,0,0,0
2014-01-02,0.0,0.0,0.0,0,0,0,0,0
2014-01-03,0.0,0.0,0.0,0,0,0,0,0
2014-01-04,0.0,0.0,0.0,0,0,0,0,0
2014-01-05,0.0,0.0,0.0,0,0,0,0,0
2014-01-06,0.0,0.0,0.0,0,0,0,0,0
2014-01-07,0.0,0.0,0.0,0,0,0,0,0
2014-01-08,0.0,0.0,0.0,0,0,0,0,0
2014-01-09,0.0,0.0,0.0,0,0,0,0,0
2014-01-10,0.0,0.803,0.197,1,0,1,0,1
2014-01-11,0.0,0.874,0.126,1,0,7,0,1
2014-01-12,0.0,0.0,0.0,0,0,0,0,0
2014-01-13,0.0,0.9015,0.0985,4,0,5,0,2
2014-01-14,0.0,0.0,0.0,0,0,0,0,0
2014-01-15,0.0,0.626,0.374,1,0,1,0,1
2014-01-16,0.0,0.0,0.0,0,0,0,0,0
2014-01-17,0.0,0.0,0.0,0,0,0,0,0
2014-01-18,0.0,0.0,0.0,0,0,0,0,0
2014-01-19,0.0,0.844,0.156,1,0,2,0,1
2014-01-20,0.0,0.0,0.0,0,0,0,0,0
2014-01-21,0.0,0.0,0.0,0,0,0,0,0
2014-01-22,0.0,0.7935000000000001,0.20650000000000002,5,0,6,0,2
2014-01-23,0.0,1.0,0.0,14,1,13,0,2
2014-01-24,0.0,0.887,0.11299999999999999,13,12,22,0,4
2014-01-25,0.02025,0.87975,0.1,22,6,32,0,4
2014-01-26,0.0,0.7646666666666667,0.2353333333333333,6,0,9,0,3
2014-01-27,0.02175,0.8342499999999999,0.14375,64,5,72,0,4
2014-01-28,0.0,0.808375,0.19162500000000002,127,13,112,0,8
2014-01-29,0.0,0.8187999999999999,0.18119999999999997,23,9,22,1,5
2014-01-30,0.0,0.0,0.0,0,0,0,0,0
2014-01-31,0.0,1.0,0.0,4,0,6,0,2
2014-02-01,0.0365,0.9045000000000001,0.059000000000000004,68,12,106,2,12
2014-02-02,0.0,0.872,0.128,8,2,7,0,2
2014-02-03,0.0,1.0,0.0,9,2,5,0,2
2014-02-04,0.0,0.9018,0.0982,33,11,29,0,5
2014-02-05,0.0,0.97575,0.02425,34,5,22,0,4
2014-02-06,0.0,0.8706666666666667,0.12933333333333333,6,3,2,0,3
2014-02-07,0.0,0.9576666666666668,0.042333333333333334,8,3,7,0,3
2014-02-08,0.0,0.874,0.126,13,1,11,0,2
2014-02-09,0.0,0.864,0.136,8,0,2,0,1
2014-02-10,0.0,0.725,0.275,1,1,1,0,1
2014-02-11,0.0,0.883,0.11699999999999999,55,7,39,1,3
2014-02-12,0.0,0.867,0.133,11,2,11,0,1
2014-02-13,0.063,0.8065,0.1305,36,6,8,0,2
2014-02-14,0.13,0.5365,0.334,4,1,13,0,2
2014-02-15,0.0,0.9305,0.0695,3,1,3,0,2
2014-02-16,0.0,0.8465,0.15350000000000003,2,1,4,0,2
2014-02-17,0.0,0.8876666666666667,0.11233333333333334,30,9,102,3,3
2014-02-18,0.0,0.796,0.204,5,0,6,0,1
2014-02-19,0.0,0.9035,0.0965,20,1,21,0,2
2014-02-20,0.0,0.0,0.0,0,0,0,0,0
2014-02-21,0.0,0.889,0.111,14,2,12,0,2
2014-02-22,0.11,0.502,0.388,14,0,10,0,1
2014-02-23,0.0,1.0,0.0,10,1,8,0,2
2014-02-24,0.0,0.0,0.0,0,0,0,0,0
2014-02-25,0.0,0.0,0.0,0,0,0,0,0
2014-02-26,0.0,0.0,0.0,0,0,0,0,0
2014-02-27,0.0,0.0,0.0,0,0,0,0,0
2014-02-28,0.0,0.851,0.149,11,2,6,0,1
2014-03-01,0.0,0.8405,0.1595,44,3,39,0,2
2014-03-02,0.043333333333333335,0.816,0.14066666666666666,20,4,29,0,3
2014-03-03,0.0,0.94075,0.05925,37,11,44,0,4
2014-03-04,0.0224,0.9016,0.076,9,5,12,0,5
2014-03-05,0.0,1.0,0.0,14,2,15,1,1
2014-03-06,0.0,0.0,0.0,0,0,0,0,0
2014-03-07,0.0,0.0,0.0,0,0,0,0,0
2014-03-08,0.0,0.866,0.134,12,2,8,0,1
2014-03-09,0.0,0.9473333333333334,0.05266666666666667,30,1,20,1,3
2014-03-10,0.0,0.0,0.0,0,0,0,0,0
2014-03-11,0.0,1.0,0.0,2,0,1,0,1
2014-03-12,0.0,0.9386666666666666,0.06133333333333333,24,7,35,1,3
2014-03-13,0.0645,0.871,0.0645,22,17,29,1,2
2014-03-14,0.0,0.0,0.0,0,0,0,0,0
2014-03-15,0.0,0.0,0.0,0,0,0,0,0
2014-03-16,0.0,1.0,0.0,9,1,4,0,1
2014-03-17,0.0,0.618,0.382,2,0,1,0,1
2014-03-18,0.0,0.0,0.0,0,0,0,0,0
2014-03-19,0.0,1.0,0.0,2,2,1,0,1
2014-03-20,0.0,1.0,0.0,13,1,8,0,2
2014-03-21,0.0,0.0,0.0,0,0,0,0,0
2014-03-22,0.0,0.0,0.0,0,0,0,0,0
2014-03-23,0.0,0.0,0.0,0,0,0,0,0
2014-03-24,0.036,0.776,0.1875,4,1,7,0,2
2014-03-25,0.041,0.7626666666666667,0.19633333333333333,14,5,23,2,3
2014-03-26,0.0,0.0,0.0,0,0,0,0,0
2014-03-27,0.0,0.0,0.0,0,0,0,0,0
2014-03-28,0.0,0.0,0.0,0,0,0,0,0
2014-03-29,0.0,0.0,0.0,0,0,0,0,0
2014-03-30,0.0,0.0,0.0,0,0,0,0,0
2014-03-31,0.0,1.0,0.0,2,1,2,0,1
2014-04-01,0.0,0.0,0.0,0,0,0,0,0
2014-04-02,0.0,0.7673333333333333,0.23266666666666666,12,2,22,0,3
2014-04-03,0.039,0.641,0.3195,20,7,21,0,2
2014-04-04,0.271,0.585,0.144,1,0,2,0,1
2014-04-05,0.057999999999999996,0.9420000000000001,0.0,18,1,18,0,3
2014-04-06,0.0,0.9496,0.0504,12,6,14,0,5
2014-04-07,0.0,0.9257500000000001,0.07425,25,2,24,0,4
2014-04-08,0.0765,0.675,0.2485,5,0,13,2,2
2014-04-09,0.0,0.9718,0.028199999999999996,21,7,25,0,5
2014-04-10,0.0655,0.8855,0.049,44,16,45,0,4
2014-04-11,0.05533333333333334,0.8763333333333333,0.06833333333333333,41,4,34,0,3
2014-04-12,0.0,0.892,0.108,28,12,35,0,3
2014-04-13,0.02725,0.9285,0.04425,138,24,295,3,4
2014-04-14,0.0,0.7605,0.2395,5,2,6,0,2
2014-04-15,0.0,1.0,0.0,7,3,6,0,3
2014-04-16,0.073,0.7975,0.1295,64,16,66,2,2
2014-04-17,0.0,1.0,0.0,7,1,6,0,1
2014-04-18,0.0,0.881,0.119,7,1,11,0,4
2014-04-19,0.0,0.876,0.124,4,1,8,0,1
2014-04-20,0.0,0.0,0.0,0,0,0,0,0
2014-04-21,0.0,0.0,0.0,0,0,0,0,0
2014-04-22,0.0,0.652,0.348,2,0,2,0,1
2014-04-23,0.0,1.0,0.0,4,0,2,0,1
2014-04-24,0.082,0.755,0.163,12,2,14,0,1
2014-04-25,0.05833333333333333,0.7566666666666667,0.18500000000000003,7,1,25,0,3
2014-04-26,0.097,0.8069999999999999,0.0955,13,2,16,0,2
2014-04-27,0.0,1.0,0.0,2,0,4,0,1
2014-04-28,0.0,1.0,0.0,4,2,7,0,1
2014-04-29,0.051333333333333335,0.9209999999999999,0.02766666666666667,19,7,24,0,3
2014-04-30,0.0,1.0,0.0,9,2,6,0,2
2014-05-01,0.0,0.712,0.288,11,2,13,0,1
2014-05-02,0.0,0.79,0.21,30,8,29,0,3
2014-05-03,0.0,1.0,0.0,0,1,3,0,1
